# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.2.9
#@/tick	561
#@/user_id	33e91bdb-5ca1-4f37-9238-e29cf6b8326d
ai 	唉	c=1 d=0.755784 t=561
ai 	愛	c=2 d=1.85586 t=561
ai qi yi 	愛奇異	c=1 d=0.904837 t=561
an jian 	按鍵	c=1 d=0.307279 t=561
ao gu 	傲骨	c=0 d=0.0873716 t=561
ao gu xian qi 	傲骨賢妻	c=7 d=6.3585 t=561
ba 	吧	c=0 d=0.0810584 t=561
ba shi 	巴士	c=2 d=0.516168 t=561
bai du 	百度	c=2 d=1.03315 t=561
bai du yun 	百度暈	c=1 d=0.918512 t=561
bai nian 	百年	c=0 d=0.0782705 t=561
bai nian gu du 	百年孤獨	c=2 d=1.58915 t=561
ban che 	班車	c=1 d=0.382893 t=561
bao liu 	保留	c=1 d=0.980199 t=561
bao lu 	暴露	c=1 d=0.313486 t=561
bei 	被	c=1 d=0.337909 t=561
ben lai 	本來	c=2 d=0.690734 t=561
bi 	幣	c=1 d=0.951229 t=561
bi 	比	c=2 d=1.40936 t=561
bi wo 	比我	c=0 d=0.0882497 t=561
biao 	表	c=1 d=0.263158 t=561
bu che le 	不扯了	c=1 d=0.802519 t=561
bu cuo 	不錯	c=1 d=0.878095 t=561
bu dao 	不到	c=1 d=0.182684 t=561
bu shi 	不是	c=3 d=0.937067 t=561
bu xiang 	不想	c=1 d=0.71177 t=561
bu yi ding 	不一定	c=1 d=0.465334 t=561
bu zen me yang 	不怎麼樣	c=1 d=0.694197 t=561
bu zhi dao 	不知道	c=1 d=0.562705 t=561
chao 	巢	c=1 d=1 t=561
che piao 	車票	c=1 d=0.418952 t=561
cheng gong 	成功	c=1 d=0.826959 t=561
cheng shi 	城市	c=1 d=0.255381 t=561
cheng shu 	成熟	c=1 d=0.895834 t=561
chi ba 	吃吧	c=1 d=0.918512 t=561
chi hai xian 	吃海鮮	c=1 d=0.209088 t=561
chi le 	吃了	c=1 d=0.66365 t=561
chu chu 	楚楚	c=1 d=0.609571 t=561
chuang kou 	窗口	c=1 d=0.286505 t=561
cong 	聰	c=1 d=0.574072 t=561
cong ge 	聰哥	c=1 d=0.843665 t=561
cong hua 	從化	c=3 d=0.386305 t=561
cun 	村	c=1 d=0.128093 t=561
da de 	大的	c=1 d=0.782705 t=561
da gai 	大概	c=0 d=0.0814647 t=561
da le 	大叻	c=6 d=1.28964 t=561
da shu 	大叔	c=1 d=0.913931 t=561
da suan 	打算	c=2 d=0.395802 t=561
dai ma 	代碼	c=1 d=0.23457 t=561
dai ti 	代替	c=1 d=0.323033 t=561
dang 	黨	c=1 d=0.280832 t=561
dang di 	當地	c=1 d=0.551563 t=561
dao 	到	c=7 d=2.86837 t=561
dao di 	到底	c=1 d=0.153355 t=561
dao hang 	導航	c=0 d=0.083527 t=561
dao shi hou 	到時候	c=1 d=0.501576 t=561
de 	的	c=26 d=8.73422 t=561
de le 	得了	c=1 d=0.210136 t=561
deng 	等	c=1 d=0.489192 t=561
di yi ji 	第一季	c=3 d=2.77511 t=561
di zhi 	地址	c=4 d=1.76512 t=561
dian 	點	c=2 d=1.28878 t=561
dian dong che 	電動車	c=1 d=0.160414 t=561
dong xi 	東西	c=1 d=0.873716 t=561
dou 	都	c=0 d=0.0484325 t=561
dou ban 	豆瓣	c=1 d=0.774916 t=561
dou yao 	都要	c=0 d=0.067032 t=561
dou yao wo 	都要我	c=1 d=0.67368 t=561
dui 	對	c=2 d=0.546337 t=561
dui wo jia ren 	對我家人	c=1 d=0.687289 t=561
duo 	多	c=2 d=0.437429 t=561
duo da 	多大	c=1 d=0.965605 t=561
duo le 	多了	c=1 d=0.900325 t=561
duo shao 	多少	c=1 d=0.213312 t=561
duo shao qian 	多少錢	c=1 d=0.357007 t=561
fan yi 	翻譯	c=1 d=0.856415 t=561
fei ji 	飛機	c=1 d=0.187308 t=561
fei lv bin 	菲律賓	c=3 d=0.448732 t=561
feng 	丰	c=1 d=0.99005 t=561
feng 	風	c=1 d=0.148301 t=561
feng 	鳳	c=1 d=0.126818 t=561
feng chao 	丰超	c=1 d=0.995012 t=561
feng yun 	風雲	c=1 d=0.130029 t=561
fu jin 	附近	c=0 d=0.0909373 t=561
fu kuan 	付款	c=1 d=0.633449 t=561
fu kuan de 	付款的	c=1 d=0.421052 t=561
fu ta 	跗蹋	c=1 d=0.379083 t=561
gang gan 	槓桿	c=2 d=1.57043 t=561
gang gang 	剛剛	c=1 d=0.57695 t=561
gao bu dong 	搞不懂	c=0 d=0.0603506 t=561
gao fen 	高分	c=2 d=1.54985 t=561
gei 	給	c=1 d=0.315058 t=561
gen 	跟	c=4 d=2.761 t=561
gong nv 	宮女	c=3 d=2.77484 t=561
gu du 	孤獨	c=0 d=0.0782705 t=561
guan li 	管理	c=1 d=0.287941 t=561
guan wang 	官網	c=1 d=0.19593 t=561
guan yu 	關於	c=1 d=0.860708 t=561
guo jia 	國家	c=1 d=0.155673 t=561
guo nei 	國內	c=0 d=0.0436049 t=561
guo nei de 	國內的	c=1 d=0.438235 t=561
ha 	哈	c=1 d=0.458406 t=561
ha ha 	哈哈	c=1 d=0.491644 t=561
ha ha ha ha 	哈哈哈哈	c=1 d=0.843665 t=561
hai cha 	還差	c=0 d=0.0680451 t=561
hai cha de yao si 	還差的要死	c=1 d=0.683861 t=561
hai shi 	還是	c=1 d=0.444858 t=561
hang kong 	航空	c=1 d=0.194952 t=561
hao 	好	c=3 d=2.20876 t=561
hao de 	好的	c=1 d=0.577129 t=561
hao lei 	好累	c=2 d=1.41661 t=561
